Date,Model,Batch,Mode,EVA16(kg),EVA25(kg),LDPE24(kg),LDPE40(kg),POE(kg),AC_PE_MB(kg),AC_EVA_MB(kg),DCP(kg),ZnO(kg),Urea(kg),BHT(kg),Filler_MB(kg),Color_MB(kg),ATH(kg),BrSb_MB(kg),CP70(kg),Powder(kg),PEG4000(kg),HALS(kg),EVA16_VA%,EVA25_VA%,Weighted_VA%,Effective_VA%,Temp1(°C),Time1(min),Temp2(°C),Time2(min),MixTime(min),RotorSpeed(rpm),AC(phr),DCP(phr),BHT(phr),ZnO(phr),Urea(phr),BaseDCPNeed(phr),EffectiveDCP(phr),DCP_SupplyRatio%,CrosslinkIndex,CrosslinkEff,CI_Min,CI_Max,CI_OptimalLow,CI_OptimalHigh,TheoDensity,PredDensity,PredExpansion,Quality_Score,Warning_Count,Warnings
"2026-02-26","451","米白G1U","production","19.2","","","12","","","16","0.61","0.16","0.03","0.02","4","","","","","0.5","0.16","","16","25","16.00","","143","26","164","25","18","55","19.90","1.517","0.050","0.398","0.075","0.958","0.958","150.3","1.123","1.018","1.049","1.607","1.216","1.440","1.0500","0.0365","28.78","100","0",""
"2026-02-26","451","特黑05CL","production","18","","","10","","","16","0.575","0.165","0.05","0.02","4","5.3","","","","","0.16","","16","25","16.00","","148","26","164","25","18","55","19.52","1.403","0.049","0.403","0.122","1.112","1.112","119.4","1.049","1.020","1.094","1.677","1.269","1.502","1.0583","0.0368","28.77","84","2","[Warning] 交聯指數Low(1.049 < 1.094)，泡孔結構可能不穩定; [Warning] 交聯指數Low(1.049 < 1.094)，泡孔結構可能不穩定"
"2026-02-26","3000","特黑06C","production","11.7","","","9.2","","","11.2","0.455","0.16","0.035","0.02","4","3.55","","","","","0.16","","16","25","16.00","","140.5","26","164","25","18","55","18.57","1.508","0.066","0.530","0.116","1.086","1.086","129.5","0.877","1.018","0.821","1.258","0.952","1.127","1.0664","0.0391","27.29","100","0",""
"2026-02-26","2500特殊板","藍285U","production","8.9","","","14.7","","","11.8","0.51","0.13","0.035","0.04","4.2","2.35","","","","","0.16","","16","25","16.00","","143.5","26","164","25","18","55","18.26","1.578","0.124","0.402","0.108","1.005","1.005","138.3","1.037","1.014","0.677","1.038","0.785","0.929","1.0572","0.0393","26.87","100","0",""
"2026-02-26","2500特殊板","深藍2925U","production","8.5","","","14","","","11.2","0.475","0.12","0.03","0.04","4","0.86","","","","","0.16","","16","25","16.00","","143.5","26","164","25","18","55","18.83","1.597","0.134","0.403","0.101","0.953","0.953","146.0","1.092","1.014","0.723","1.108","0.838","0.992","1.0552","0.0384","27.51","100","0",""
"2026-02-26","1900CUV","綠342U","production","","","31","5","","17","","0.52","0.21","0.09","0.05","6","13","","","","","0.16","0.85","16","25","16.00","","150.5","30","164","27","18","55","15.25","0.933","0.090","0.377","0.161","1.197","1.197","66.5","0.621","1.005","0.658","1.215","0.825","1.048","1.0541","0.0450","23.41","76","3","[Warning] 混練Discharge Temperature(120°C)接近AC有效分解溫度(114°C)，AC可能提前分解; [Warning] 交聯指數Low(0.621 < 0.658)，泡孔結構可能不穩定; [Warning] 交聯指數Low(0.621 < 0.658)，泡孔結構可能不穩定"
"2026-02-26","1900C","黃602U","production","","","36","10","","16","","0.65","0.17","0.065","0.06","6","0.65","","","","","0.16","","16","25","16.00","","151","30","164","27","18","55","14.29","1.161","0.107","0.304","0.116","0.896","0.896","111.4","1.041","1.001","0.692","1.277","0.867","1.101","1.0219","0.0463","22.06","100","0",""
"2026-02-26","1900C","綠360C","production","","","33","10","","16.3","","0.59","0.185","0.085","0.06","5","5.7","","","","","0.16","","16","25","16.00","","151","30","164","28","18","55","14.38","1.041","0.106","0.326","0.150","1.016","1.016","86.6","0.811","1.003","0.681","1.258","0.854","1.085","1.0266","0.0459","22.38","100","0",""
"2026-02-26","1900C","藍300U-1","production","","","30.6","10","","17","","0.59","0.185","0.09","0.06","6","5.61","","","","","0.16","","16","25","16.00","","153.3","30","164","28","18","55","15.51","1.076","0.109","0.338","0.164","1.019","1.019","89.3","0.858","1.003","0.681","1.257","0.854","1.084","1.0386","0.0437","23.74","100","0",""
"2026-02-26","1900C","藍312U","production","5","","32.5","5","","17","","0.53","0.18","0.08","0.03","6","3.7","","","","","0.16","","16","25","16.00","","150.7","30","164","28","18","55","15.38","0.959","0.054","0.326","0.145","0.992","0.992","88.3","0.831","1.004","0.687","1.268","0.861","1.094","1.0345","0.0440","23.53","100","0",""
"2026-02-26","1900C","灰7C","production","","","36","10","","15.6","","0.65","0.16","0.075","0.06","6","0.76","","","","","0.16","","16","25","16.00","","152","30","164","27","18","55","13.96","1.163","0.107","0.286","0.134","0.899","0.899","111.3","1.054","1.001","0.692","1.277","0.867","1.101","1.0213","0.0471","21.69","100","0",""
"2026-02-26","1900C","紅186C","production","","","34.3","5","","16","","0.64","0.18","0.085","0.06","6","9.44","","","","","0.16","","16","25","16.00","","153.5","30","164","28","18","55","14.32","1.145","0.107","0.322","0.152","1.110","1.110","88.5","0.853","1.004","0.669","1.236","0.839","1.066","1.0429","0.0470","22.19","92","1","[Warning] 混練Discharge Temperature(120°C)接近AC有效分解溫度(115°C)，AC可能提前分解"
"2026-02-26","1900C","桔1585C","production","","","27.2","10","","16","","0.59","0.17","0.085","0.04","6","11.5","","","","","0.16","","16","25","16.00","","151.2","30","164","28","18","55","14.46","1.066","0.072","0.307","0.154","1.163","1.163","82.2","0.778","1.005","0.663","1.223","0.831","1.055","1.0488","0.0469","22.38","100","0",""
"2026-02-26","1900C","特黑06C","production","","","31.1","10","","16.8","","0.615","0.175","0.065","0.06","6","7.1","","","","","0.16","","16","25","16.00","","152","30","164","28","18","55","14.91","1.092","0.107","0.311","0.115","1.051","1.051","88.4","0.839","1.003","0.677","1.250","0.849","1.078","1.0388","0.0454","22.86","100","0",""
"2026-02-26","1800C","桔123C","production","","","27.5","10","","13","","0.57","0.195","0.04","0.05","5","4.28","","","","","0.16","","16","25","16.00","","151","26","164","50","18","55","13.41","1.176","0.103","0.402","0.083","1.000","1.000","101.9","0.933","1.002","0.683","1.262","0.857","1.088","1.0278","0.0492","20.87","100","0",""
"2026-02-26","1800B","黑419C","production","5","","18.2","5.8","","11.5","","0.45","0.13","0.02","0.045","1.9","4.9","","","","","0.16","","16","25","16.00","","148","26","164","50","18","55","14.78","1.157","0.116","0.334","0.051","1.077","1.077","91.1","0.782","1.006","0.677","1.250","0.849","1.078","1.0174","0.0446","22.83","100","0",""
"2026-02-26","1800A","棕7502U","production","","","15.7","14","","11","","0.43","0.14","0.015","0.04","5","1.18","","","","","0.16","","16","25","16.00","","151","26","164","50","18","55","14.73","1.152","0.107","0.375","0.040","0.925","0.925","106.9","0.978","1.001","0.692","1.277","0.867","1.101","1.0365","0.0465","22.29","100","0",""
"2026-02-26","1800A","深藍297U","production","","","15","14","","11","","0.435","0.16","0.02","0.04","5","1.2","","","","","0.16","","16","25","16.00","","151","26","164","50","18","55","15.01","1.187","0.109","0.437","0.055","0.926","0.926","110.2","1.007","1.002","0.692","1.277","0.867","1.101","1.0384","0.0458","22.66","100","0",""
